Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1.0,15.82563892,-58.38697924,0.0,1.0,86.0,Calm
1.0,15.93136233,-59.40959455,0.0,1.0,86.0,Calm
1.0,16.03327246,-64.7729585,0.0,1.0,86.0,Calm
1.0,16.13995108,-65.77892493,0.0,1.0,86.0,Calm
1.0,16.24181067,-54.59376224,0.0,1.0,86.0,Calm
1.0,16.34812696,-50.2279386,0.0,1.0,86.0,Calm
1.0,16.45475342,-63.59830103,0.0,1.0,86.0,Calm
1.0,16.56019325,-61.46519893,0.0,1.0,86.0,Calm
1.0,16.66483504,-62.54261169,0.0,1.0,86.0,Calm
1.0,16.77145892,-64.73922658,0.0,1.0,86.0,Calm
1.0,16.87653038,-65.05896066,0.0,1.0,86.0,Calm
1.0,16.98159113,-64.8194874,0.0,1.0,86.0,Calm
1.0,17.08822938,-65.72105186,0.0,1.0,86.0,Calm
1.0,17.19082683,-64.81665451,0.0,1.0,86.0,Calm
1.0,17.29472658,-61.98575298,0.0,1.0,86.0,Calm
1.0,17.39818813,-63.59953104,0.0,1.0,86.0,Calm
1.0,17.50469125,-54.7431269,0.0,1.0,86.0,Calm
1.0,17.60914929,-52.74608373,0.0,1.0,86.0,Calm
1.0,17.71487567,-66.17341237,0.0,1.0,86.0,Calm
1.0,17.82132754,-65.31871162,0.0,1.0,86.0,Calm
1.0,17.92540838,-57.4,0.0,1.0,86.0,Calm
1.0,18.03123925,-63.11362563,0.0,1.0,86.0,Calm
1.0,18.13793738,-66.09301785,0.0,1.0,86.0,Calm
1.0,18.24182125,-57.44754457,0.0,1.0,86.0,Calm
1.0,18.34826213,-59.62725518,0.0,1.0,86.0,Calm
1.0,18.45358146,-60.09005729,0.0,1.0,86.0,Calm
1.0,18.55826471,-62.1743299,0.0,1.0,86.0,Calm
1.0,18.66493433,-64.34467127,0.0,1.0,86.0,Calm
1.0,18.77026671,-66.65569963,0.0,1.0,86.0,Calm
1.0,18.87465829,-65.00183536,0.0,1.0,86.0,Calm
1.0,18.98132,-64.71856325,0.0,1.0,86.0,Calm
1.0,19.08690763,-64.21039701,0.0,1.0,86.0,Calm
1.0,19.19111775,-63.58586111,0.0,1.0,86.0,Calm
1.0,19.29560767,-63.32648491,0.0,1.0,86.0,Calm
1.0,19.39739046,-65.52399802,0.0,1.0,86.0,Calm
1.0,19.50292767,-63.32701424,0.0,1.0,86.0,Calm
1.0,19.60761213,-65.3201089,0.0,1.0,86.0,Calm
1.0,19.71431996,-56.42761196,0.0,1.0,86.0,Calm
1.0,19.81962233,-54.39781139,0.0,1.0,86.0,Calm
1.0,19.924079,-66.16859466,0.0,1.0,86.0,Calm
1.0,20.03080513,-63.63477785,0.0,1.0,86.0,Calm
1.0,20.13595017,-66.7316877,0.0,1.0,86.0,Calm
1.0,20.24057108,-66.16083118,0.0,1.0,86.0,Calm
1.0,20.34478146,-54.03269298,0.0,1.0,86.0,Calm
1.0,20.44746596,-51.94976988,0.0,1.0,86.0,Calm
1.0,20.55409783,-64.68879414,0.0,1.0,86.0,Calm
1.0,20.65965354,-64.13830362,0.0,1.0,86.0,Calm
1.0,20.7614325,-66.45077721,0.0,1.0,86.0,Calm
1.0,20.86413038,-65.70576934,0.0,1.0,86.0,Calm
1.0,20.97075192,-65.3324298,0.0,1.0,86.0,Calm
1.0,21.07303046,-61.09586603,0.0,1.0,86.0,Calm
1.0,21.17813713,-63.36457855,0.0,1.0,86.0,Calm
1.0,21.28086967,-65.61928908,0.0,1.0,86.0,Calm
1.0,21.38742058,-65.9218896,0.0,1.0,86.0,Calm
1.0,21.48924288,-67.21139885,0.0,1.0,86.0,Calm
1.0,21.594843,-51.67201982,0.0,1.0,86.0,Calm
1.0,21.69748063,-64.19535747,0.0,1.0,86.0,Calm
1.0,21.80370838,-63.76608764,0.0,1.0,86.0,Calm
1.0,21.90548142,-65.79456009,0.0,1.0,86.0,Calm
1.0,22.0114185,-64.98950494,0.0,1.0,86.0,Calm
1.0,22.11488629,-67.06830952,0.0,1.0,86.0,Calm
1.0,22.2200355,-65.34888906,0.0,1.0,86.0,Calm
1.0,22.32600788,-54.10313914,0.0,1.0,86.0,Calm
1.0,22.43107367,-64.68925585,0.0,1.0,86.0,Calm
1.0,22.53620417,-64.43873297,0.0,1.0,86.0,Calm
1.0,22.64266967,-64.39400781,0.0,1.0,86.0,Calm
1.0,22.74763283,-66.37336394,0.0,1.0,86.0,Calm
1.0,22.85255204,-65.98165772,0.0,1.0,86.0,Calm
1.0,22.95447596,-66.21670359,0.0,1.0,86.0,Calm
1.0,23.05940733,-65.88168816,0.0,1.0,86.0,Calm
1.0,23.16444,-65.83465437,0.0,1.0,86.0,Calm
1.0,23.26918467,-65.80721184,0.0,1.0,86.0,Calm
1.0,23.37093263,-65.01915976,0.0,1.0,86.0,Calm
1.0,23.47601363,-67.1361873,0.0,1.0,86.0,Calm
1.0,23.58105512,-66.31142464,0.0,1.0,86.0,Calm
1.0,23.68738246,-67.36678185,0.0,1.0,86.0,Calm
1.0,23.79400938,-64.91169973,0.0,1.0,86.0,Calm
1.0,23.90010683,-65.5050046,0.0,1.0,86.0,Calm
1.0,24.00414121,-64.82335815,0.0,1.0,86.0,Calm
1.0,24.11040779,-65.06842746,0.0,1.0,86.0,Calm
1.0,24.21680262,-66.16081819,0.0,1.0,86.0,Calm
1.0,24.32101042,-68.20709424,0.0,1.0,86.0,Calm
1.0,24.42468483,-66.99506645,0.0,1.0,86.0,Calm
1.0,24.53138617,-66.04275838,0.0,1.0,86.0,Calm
1.0,24.63780504,-66.82626545,0.0,1.0,86.0,Calm
1.0,24.74203088,-64.63684471,0.0,1.0,86.0,Calm
1.0,24.84873004,-67.47514044,0.0,1.0,86.0,Calm
1.0,24.95448492,-65.60657429,0.0,1.0,86.0,Calm
1.0,25.05870412,-66.06018521,0.0,1.0,86.0,Calm
1.0,25.16539146,-67.29247523,0.0,1.0,86.0,Calm
1.0,25.271132,-67.24953522,0.0,1.0,86.0,Calm
1.0,25.37783521,-67.91113413,0.0,1.0,86.0,Calm
1.0,25.48447279,-67.65387504,0.0,1.0,86.0,Calm
1.0,25.5922935,-62.78771652,0.0,1.0,86.0,Calm
1.0,25.69893488,-58.88273468,0.0,1.0,86.0,Calm
1.0,25.80282529,-65.99421183,0.0,1.0,86.0,Calm
1.0,25.90896929,-65.67875997,0.0,1.0,86.0,Calm
1.0,26.01170858,-67.54189789,0.0,1.0,86.0,Calm
1.0,26.11607779,-64.97813734,0.0,1.0,86.0,Calm
1.0,26.22031017,-65.75606614,0.0,1.0,86.0,Calm
1.0,26.32564938,-66.1306305,0.0,1.0,86.0,Calm
1.0,26.43236204,-66.54469248,0.0,1.0,86.0,Calm
1.0,26.53816663,-68.10456443,0.0,1.0,86.0,Calm
1.0,26.64250833,-66.23387224,0.0,1.0,86.0,Calm
1.0,26.74916383,-67.54734194,0.0,1.0,86.0,Calm
1.0,26.85507946,-67.68938862,0.0,1.0,86.0,Calm
1.0,26.95849925,-67.41153175,0.0,1.0,86.0,Calm
1.0,27.06513658,-64.11559689,0.0,1.0,86.0,Calm
1.0,27.17014429,-65.62200287,0.0,1.0,86.0,Calm
1.0,27.27582675,-66.32455573,0.0,1.0,86.0,Calm
1.0,27.3824275,-67.79188618,0.0,1.0,86.0,Calm
1.0,27.48853975,-65.71074175,0.0,1.0,86.0,Calm
1.0,27.5925335,-66.86726945,0.0,1.0,86.0,Calm
1.0,27.69914271,-65.80049286,0.0,1.0,86.0,Calm
1.0,27.80313971,-66.50135929,0.0,1.0,86.0,Calm
1.0,27.90917596,-64.84762798,0.0,1.0,86.0,Calm
