Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1,15.6147136700 ,-65.3443432100 ,0,1,86,Calm
1,15.7214253800 ,-48.4203500700 ,0,1,86,Calm
1,15.8256389200 ,-58.3869792400 ,0,1,86,Calm
1,15.9313623300 ,-59.4095945500 ,0,1,86,Calm
1,16.0332724600 ,-64.7729585000 ,0,1,86,Calm
1,16.1399510800 ,-65.7789249300 ,0,1,86,Calm
1,16.2418106700 ,-54.5937622400 ,0,1,86,Calm
1,16.3481269600 ,-50.2279386000 ,0,1,86,Calm
1,16.4547534200 ,-63.5983010300 ,0,1,86,Calm
1,16.5601932500 ,-61.4651989300 ,0,1,86,Calm
1,16.6648350400 ,-62.5426116900 ,0,1,86,Calm
1,16.7714589200 ,-64.7392265800 ,0,1,86,Calm
1,16.8765303800 ,-65.0589606600 ,0,1,86,Calm
1,16.9815911300 ,-64.8194874000 ,0,1,86,Calm
1,17.0882293800 ,-65.7210518600 ,0,1,86,Calm
1,17.1908268300 ,-64.8166545100 ,0,1,86,Calm
1,17.2947265800 ,-61.9857529800 ,0,1,86,Calm
1,17.3981881300 ,-63.5995310400 ,0,1,86,Calm
1,17.5046912500 ,-54.7431269000 ,0,1,86,Calm
1,17.6091492900 ,-52.7460837300 ,0,1,86,Calm
1,17.7148756700 ,-66.1734123700 ,0,1,86,Calm
1,17.8213275400 ,-65.3187116200 ,0,1,86,Calm
1,17.9254083800 ,NaN,0,1,86,Calm
1,18.0312392500 ,-63.1136256300 ,0,1,86,Calm
1,18.1379373800 ,-66.0930178500 ,0,1,86,Calm
1,18.2418212500 ,-57.4475445700 ,0,1,86,Calm
1,18.3482621300 ,-59.6272551800 ,0,1,86,Calm
1,18.4535814600 ,-60.0900572900 ,0,1,86,Calm
1,18.5582647100 ,-62.1743299000 ,0,1,86,Calm
1,18.6649343300 ,-64.3446712700 ,0,1,86,Calm
1,18.7702667100 ,-66.6556996300 ,0,1,86,Calm
1,18.8746582900 ,-65.0018353600 ,0,1,86,Calm
1,18.9813200000 ,-64.7185632500 ,0,1,86,Calm
1,19.0869076300 ,-64.2103970100 ,0,1,86,Calm
1,19.1911177500 ,-63.5858611100 ,0,1,86,Calm
1,19.2956076700 ,-63.3264849100 ,0,1,86,Calm
1,19.3973904600 ,-65.5239980200 ,0,1,86,Calm
1,19.5029276700 ,-63.3270142400 ,0,1,86,Calm
1,19.6076121300 ,-65.3201089000 ,0,1,86,Calm
1,19.7143199600 ,-56.4276119600 ,0,1,86,Calm
1,19.8196223300 ,-54.3978113900 ,0,1,86,Calm
1,19.9240790000 ,-66.1685946600 ,0,1,86,Calm
1,20.0308051300 ,-63.6347778500 ,0,1,86,Calm
1,20.1359501700 ,-66.7316877000 ,0,1,86,Calm
1,20.2405710800 ,-66.1608311800 ,0,1,86,Calm
1,20.3447814600 ,-54.0326929800 ,0,1,86,Calm
1,20.4474659600 ,-51.9497698800 ,0,1,86,Calm
1,20.5540978300 ,-64.6887941400 ,0,1,86,Calm
1,20.6596535400 ,-64.1383036200 ,0,1,86,Calm
1,20.7614325000 ,-66.4507772100 ,0,1,86,Calm
1,20.8641303800 ,-65.7057693400 ,0,1,86,Calm
1,20.9707519200 ,-65.3324298000 ,0,1,86,Calm
1,21.0730304600 ,-61.0958660300 ,0,1,86,Calm
1,21.1781371300 ,-63.3645785500 ,0,1,86,Calm
1,21.2808696700 ,-65.6192890800 ,0,1,86,Calm
1,21.3874205800 ,-65.9218896000 ,0,1,86,Calm
1,21.4892428800 ,-67.2113988500 ,0,1,86,Calm
1,21.5948430000 ,-51.6720198200 ,0,1,86,Calm
1,21.6974806300 ,-64.1953574700 ,0,1,86,Calm
1,21.8037083800 ,-63.7660876400 ,0,1,86,Calm
1,21.9054814200 ,-65.7945600900 ,0,1,86,Calm
1,22.0114185000 ,-64.9895049400 ,0,1,86,Calm
1,22.1148862900 ,-67.0683095200 ,0,1,86,Calm
1,22.2200355000 ,-65.3488890600 ,0,1,86,Calm
1,22.3260078800 ,-54.1031391400 ,0,1,86,Calm
1,22.4310736700 ,-64.6892558500 ,0,1,86,Calm
1,22.5362041700 ,-64.4387329700 ,0,1,86,Calm
1,22.6426696700 ,-64.3940078100 ,0,1,86,Calm
1,22.7476328300 ,-66.3733639400 ,0,1,86,Calm
1,22.8525520400 ,-65.9816577200 ,0,1,86,Calm
1,22.9544759600 ,-66.2167035900 ,0,1,86,Calm
1,23.0594073300 ,-65.8816881600 ,0,1,86,Calm
1,23.1644400000 ,-65.8346543700 ,0,1,86,Calm
1,23.2691846700 ,-65.8072118400 ,0,1,86,Calm
1,23.3709326300 ,-65.0191597600 ,0,1,86,Calm
1,23.4760136300 ,-67.1361873000 ,0,1,86,Calm
1,23.5810551200 ,-66.3114246400 ,0,1,86,Calm
1,23.6873824600 ,-67.3667818500 ,0,1,86,Calm
1,23.7940093800 ,-64.9116997300 ,0,1,86,Calm
1,23.9001068300 ,-65.5050046000 ,0,1,86,Calm
1,24.0041412100 ,-64.8233581500 ,0,1,86,Calm
1,24.1104077900 ,-65.0684274600 ,0,1,86,Calm
1,24.2168026200 ,-66.1608181900 ,0,1,86,Calm
1,24.3210104200 ,-68.2070942400 ,0,1,86,Calm
1,24.4246848300 ,-66.9950664500 ,0,1,86,Calm
1,24.5313861700 ,-66.0427583800 ,0,1,86,Calm
1,24.6378050400 ,-66.8262654500 ,0,1,86,Calm
1,24.7420308800 ,-64.6368447100 ,0,1,86,Calm
1,24.8487300400 ,-67.4751404400 ,0,1,86,Calm
1,24.9544849200 ,-65.6065742900 ,0,1,86,Calm
1,25.0587041200 ,-66.0601852100 ,0,1,86,Calm
1,25.1653914600 ,-67.2924752300 ,0,1,86,Calm
1,25.2711320000 ,-67.2495352200 ,0,1,86,Calm
1,25.3778352100 ,-67.9111341300 ,0,1,86,Calm
1,25.4844727900 ,-67.6538750400 ,0,1,86,Calm
1,25.5922935000 ,-62.7877165200 ,0,1,86,Calm
1,25.6989348800 ,-58.8827346800 ,0,1,86,Calm
1,25.8028252900 ,-65.9942118300 ,0,1,86,Calm
1,25.9089692900 ,-65.6787599700 ,0,1,86,Calm
1,26.0117085800 ,-67.5418978900 ,0,1,86,Calm
1,26.1160777900 ,-64.9781373400 ,0,1,86,Calm
1,26.2203101700 ,-65.7560661400 ,0,1,86,Calm
1,26.3256493800 ,-66.1306305000 ,0,1,86,Calm
1,26.4323620400 ,-66.5446924800 ,0,1,86,Calm
1,26.5381666300 ,-68.1045644300 ,0,1,86,Calm
1,26.6425083300 ,-66.2338722400 ,0,1,86,Calm
1,26.7491638300 ,-67.5473419400 ,0,1,86,Calm
1,26.8550794600 ,-67.6893886200 ,0,1,86,Calm
1,26.9584992500 ,-67.4115317500 ,0,1,86,Calm
1,27.0651365800 ,-64.1155968900 ,0,1,86,Calm
1,27.1701442900 ,-65.6220028700 ,0,1,86,Calm
1,27.2758267500 ,-66.3245557300 ,0,1,86,Calm
1,27.3824275000 ,-67.7918861800 ,0,1,86,Calm
1,27.4885397500 ,-65.7107417500 ,0,1,86,Calm
1,27.5925335000 ,-66.8672694500 ,0,1,86,Calm
1,27.6991427100 ,-65.8004928600 ,0,1,86,Calm
1,27.8031397100 ,-66.5013592900 ,0,1,86,Calm
1,27.9091759600 ,-64.8476279800 ,0,1,86,Calm
1,28.0160017100 ,-66.7659034200 ,0,1,86,Calm
1,28.1219006700 ,-65.1799013400 ,0,1,86,Calm
1,28.2258707100 ,-65.6461259900 ,0,1,86,Calm
1,28.3325084200 ,-65.5880743100 ,0,1,86,Calm
1,28.4385490400 ,-64.8278971100 ,0,1,86,Calm
1,28.5432158300 ,-66.1574001500 ,0,1,86,Calm
1,28.6499307100 ,-65.1708098400 ,0,1,86,Calm
1,28.7553438300 ,-63.0130016300 ,0,1,86,Calm
1,28.8619994200 ,-65.7771505200 ,0,1,86,Calm
1,28.9677340000 ,-59.7496143100 ,0,1,86,Calm
1,29.0719460400 ,-61.6351328400 ,0,1,86,Calm
1,29.1760653800 ,-60.7959090300 ,0,1,86,Calm
1,29.2826370800 ,-63.0900830600 ,0,1,86,Calm
1,29.3888611700 ,-60.8189621800 ,0,1,86,Calm
1,29.4956606300 ,-64.9606532400 ,0,1,86,Calm
1,29.6012375400 ,-65.1950882500 ,0,1,86,Calm
1,29.7057230400 ,-62.1134998500 ,0,1,86,Calm
1,29.8124436300 ,-64.9828511100 ,0,1,86,Calm
1,29.9179498800 ,-63.6583059300 ,0,1,86,Calm
1,30.0224682100 ,-62.4629542500 ,0,1,86,Calm
1,30.1289186700 ,NaN,0,1,86,Calm
1,30.2344847100 ,-60.7242686700 ,0,1,86,Calm
1,30.3393424200 ,-59.6426946000 ,0,1,86,Calm
1,30.4434596300 ,-63.3048250700 ,0,1,86,Calm
1,30.5498167100 ,-48.1294400000 ,0,1,86,Calm
1,30.6560537500 ,-53.6186036100 ,0,1,86,Calm
1,30.7627565000 ,-59.2729139900 ,0,1,86,Calm
1,30.8686075800 ,-60.9286299900 ,0,1,86,Calm
1,30.9728579600 ,-57.9456335400 ,0,1,86,Calm
1,31.0767357100 ,-56.0447271000 ,0,1,86,Calm
1,31.1834148300 ,-56.2722758100 ,0,1,86,Calm
1,31.2897522500 ,-63.0880762900 ,0,1,86,Calm
1,31.3963718300 ,-54.1802801700 ,0,1,86,Calm
1,31.5019020400 ,-43.8777987300 ,0,1,86,Calm
1,31.6063269200 ,-54.8085843500 ,0,1,86,Calm
1,31.7103993800 ,-51.3837211200 ,0,1,86,Calm
1,31.8142701700 ,-56.6154033700 ,0,1,86,Calm
1,31.9209025000 ,-40.5523259300 ,0,1,86,Calm
1,32.0271250400 ,-52.5132572800 ,0,1,86,Calm
1,32.1339670400 ,-64.8473204200 ,0,1,86,Calm
1,32.2400210000 ,-58.6942545200 ,0,1,86,Calm
1,32.3437195400 ,-56.9775878400 ,0,1,86,Calm
1,32.4503728300 ,-59.1906275400 ,0,1,86,Calm
1,32.5567919200 ,-55.3805595500 ,0,1,86,Calm
1,32.6603842100 ,-47.3588163900 ,0,1,86,Calm
1,32.7670282900 ,-58.9570636100 ,0,1,86,Calm
1,32.8735277500 ,-61.4831650700 ,0,1,86,Calm
1,32.9771015400 ,-47.2261085600 ,0,1,86,Calm
1,33.0836958800 ,-59.0968762600 ,0,1,86,Calm
1,33.1883748300 ,-59.5772862800 ,0,1,86,Calm
1,33.2937581700 ,-62.6864106700 ,0,1,86,Calm
1,33.4004220400 ,-55.4893559600 ,0,1,86,Calm
1,33.5050832500 ,-47.7178861900 ,0,1,86,Calm
1,33.6072772500 ,-43.7326206200 ,0,1,86,Calm
1,33.7128861300 ,-48.3098151400 ,0,1,86,Calm
1,33.8190645800 ,-49.2840367900 ,0,1,86,Calm
1,33.9240056700 ,-49.0465338600 ,0,1,86,Calm
1,34.0307141700 ,-51.9325793600 ,0,1,86,Calm
1,34.1369333300 ,-52.5237223200 ,0,1,86,Calm
1,34.2388299200 ,-52.6038979600 ,0,1,86,Calm
1,34.3450338800 ,-57.5410272000 ,0,1,86,Calm
1,34.4517195400 ,-51.4192135200 ,0,1,86,Calm
